bank,file_start,file_end,cpu_start,cpu_end,classification,status,confidence,source_sha256,notes
0x1b,0x06c000,0x06ffff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=debb39d79829cbef537163d1bf5252430e90ed966e6bc73141a4e44544a04f30; entropy=6.995761; unique_bytes=256; zero_bytes=1219; ff_bytes=285
0x1c,0x070000,0x073fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=cadfbde96d8a2169106730052abab442a2e09a9d338ec5049f436679ad403b4d; entropy=6.968207; unique_bytes=256; zero_bytes=1243; ff_bytes=356
0x1d,0x074000,0x077fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=44848dae3b87c7bc58d10b35680c28d79c2587ae2963762939713a6953d82606; entropy=6.983989; unique_bytes=255; zero_bytes=1279; ff_bytes=308
0x1e,0x078000,0x07bfff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=3f63d86c7485f7deea6f58ae08cd072b1c03ef63685173c804bc59ee0fb83e19; entropy=6.909144; unique_bytes=256; zero_bytes=1271; ff_bytes=485
0x1f,0x07c000,0x07ffff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=9e8e7a5026fee43e67643676e83d705d2dfc6dfbe058e9d19b9395f0994b30de; entropy=6.970199; unique_bytes=256; zero_bytes=1180; ff_bytes=298
0x20,0x080000,0x083fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=5b7457ddb006beb60d06685379977673c00cc5955036a4b9df7ea3ad7045d847; entropy=4.285484; unique_bytes=250; zero_bytes=8823; ff_bytes=177
0x21,0x084000,0x087fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=b011dee6d58d2384fbfb5415c985370798f98a9ffa4d828ac85d2cc1dad94ac6; entropy=5.369229; unique_bytes=256; zero_bytes=6376; ff_bytes=298
0x22,0x088000,0x08bfff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=99d67bc80962180b41672f4bbd37c726314d86a2a11a6f8a12fce2163a9e9966; entropy=6.696371; unique_bytes=256; zero_bytes=2510; ff_bytes=182
0x23,0x08c000,0x08ffff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=9687bee19696968e379ec7d74a08114378c4585dd1d4ab24d442883bb987c2c2; entropy=6.735342; unique_bytes=256; zero_bytes=2357; ff_bytes=258
0x24,0x090000,0x093fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=005b8b4392eb8b233d143c1776961b6ee9d0ba265dbf1a62771ac26b18c225b9; entropy=7.250469; unique_bytes=256; zero_bytes=681; ff_bytes=252
0x25,0x094000,0x097fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=e573a13ae9163fe172ca4f59c10ab2f597b690aa1471c11ac8906fdcca740e9c; entropy=7.000075; unique_bytes=256; zero_bytes=1080; ff_bytes=36
0x26,0x098000,0x09bfff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=cdfe418e1ad5df93ad038facdee97569d27b2d4991cda8aec1f4e6cb881c4c43; entropy=6.995719; unique_bytes=256; zero_bytes=1246; ff_bytes=455
0x27,0x09c000,0x09ffff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=5a92f11d87b0de9d67f49d204b7f95adbbad5e213add78729142b8f3d1f23f4f; entropy=7.020347; unique_bytes=255; zero_bytes=1182; ff_bytes=486
0x28,0x0a0000,0x0a3fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=1a83928c3b32d0a595fd71ea56ab4ad95ce0c3f0393de597029541f0f94009d0; entropy=6.217082; unique_bytes=256; zero_bytes=3927; ff_bytes=221
0x29,0x0a4000,0x0a7fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=a7e2fe790793043092d6442ba7bffd01b5d19ecf56f4274823fd46268918c59a; entropy=6.371555; unique_bytes=255; zero_bytes=2729; ff_bytes=11
0x2a,0x0a8000,0x0abfff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=66c92ddbb20cda23125de5789677dc6a1ddffbaed2a096fdd8f4f171ba056ba3; entropy=5.809158; unique_bytes=128; zero_bytes=85; ff_bytes=0
0x2b,0x0ac000,0x0affff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=f1f1ca708de23a2afc587d8ba58cfd628186f555439522faf521d828cf0bcba2; entropy=5.740914; unique_bytes=125; zero_bytes=166; ff_bytes=0
0x2c,0x0b0000,0x0b3fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=4baa24e75d703db3969673b46bcaeeef1010c927c838506a174dec6ed22dff67; entropy=3.314854; unique_bytes=105; zero_bytes=9406; ff_bytes=0
0x2d,0x0b4000,0x0b7fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=6fae3756e2c8f105feeb2cc2ba947292f36ba7898d36fdb85198e9fd6db506da; entropy=6.528869; unique_bytes=256; zero_bytes=2684; ff_bytes=599
0x2e,0x0b8000,0x0bbfff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=f5bc166562b4f972caf3a3f9fc223749bd47207e7044945c439d1c48a7ed08cd; entropy=4.758612; unique_bytes=255; zero_bytes=7835; ff_bytes=286
0x2f,0x0bc000,0x0bffff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=861360a1fafefb2714b48f7f0705867a7b4fa1cb52ba05531c009428d5465181; entropy=6.391652; unique_bytes=254; zero_bytes=2038; ff_bytes=3
0x30,0x0c0000,0x0c3fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=4a4bf9ecbb1b7a8fc36687f4d3a7428464d12353c17c27f096fa5e6bd2229ef5; entropy=6.082367; unique_bytes=209; zero_bytes=748; ff_bytes=147
0x31,0x0c4000,0x0c7fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=452225fad9ff54a1c7b1661e369bb4b8b5a182e84274f8dce09857654858e1f4; entropy=6.011516; unique_bytes=251; zero_bytes=2342; ff_bytes=194
0x32,0x0c8000,0x0cbfff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=c9d77b623b71c7172e5f835e8aa2d5edcc6f1d7821e3fb45c544d6b16120643b; entropy=6.509182; unique_bytes=256; zero_bytes=2025; ff_bytes=369
0x33,0x0cc000,0x0cffff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=e5a0de21084171086683df6692acdcdfe15f884b4a08286ad88acfe1b05bcdcc; entropy=6.555243; unique_bytes=256; zero_bytes=2090; ff_bytes=157
0x34,0x0d0000,0x0d3fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=cff8aaaceff86de6aea372f6d80b3c65aaf889dfd1a27fcf247f505af1107e15; entropy=5.739264; unique_bytes=255; zero_bytes=3487; ff_bytes=590
0x35,0x0d4000,0x0d7fff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=d6ff80f432b41a10076ac5bfda4a0eaad697ed5601c82d65e6ef1a55ca98ddab; entropy=4.360326; unique_bytes=254; zero_bytes=8085; ff_bytes=6
0x36,0x0d8000,0x0dbfff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=6e009a8a15ab0f8a5056b6d21c96280388fd762c6149ea946594ad57b159e778; entropy=3.197638; unique_bytes=228; zero_bytes=10678; ff_bytes=2
0x37,0x0dc000,0x0dffff,0x4000,0x7fff,unclassified,fingerprinted,low,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,bank_sha256=97d67352fc6dcb4c33251618b77cae0cb036eca210a2f5f1fcac42e0dd8f4864; entropy=6.434994; unique_bytes=256; zero_bytes=2185; ff_bytes=1771
